"Class","Category","Name","FullPath","SizeMB","LastWrite","IsCanonical"
"LEGACY_PROJECT","RuneforgeCore","PS2dumperV2_bin.7z","C:\RUNEFOGE_PRO\runeforge-mvp\runeforge-mvp\retro\tools\ps2-bios-dumper\PS2dumperV2_bin.7z","0.281","22/03/2026 08:03:00 p. m.","True"
"LEGACY_PROJECT","RuneforgeCore","PS2dumperV2_iso.7z","C:\RUNEFOGE_PRO\runeforge-mvp\runeforge-mvp\retro\tools\ps2-bios-dumper\PS2dumperV2_iso.7z","0.432","22/03/2026 08:03:08 p. m.","True"
"LEGACY_PROJECT","RuneforgeCore","tools-bios-dumper-v2.tar.gz","C:\RUNEFOGE_PRO\runeforge-mvp\runeforge-mvp\retro\tools\ps2-bios-dumper\tools-bios-dumper-v2.tar.gz","0","22/03/2026 08:03:16 p. m.","True"
"LEGACY_PROJECT","RuneforgeCore","tools-bios-dumper-v2.zip","C:\RUNEFOGE_PRO\runeforge-mvp\runeforge-mvp\retro\tools\ps2-bios-dumper\tools-bios-dumper-v2.zip","0","22/03/2026 08:03:12 p. m.","True"
"LAB","RuneforgeCore","tools-tests-pad.tar.gz","C:\RUNEFOGE_PRO\runeforge-mvp\runeforge-mvp\retro\tools\ps2-bios-dumper\tools-tests-pad.tar.gz","0","22/03/2026 08:02:48 p. m.","True"
"LAB","RuneforgeCore","tools-tests-pad.zip","C:\RUNEFOGE_PRO\runeforge-mvp\runeforge-mvp\retro\tools\ps2-bios-dumper\tools-tests-pad.zip","0","22/03/2026 08:02:44 p. m.","True"
"LEGACY_PROJECT","RuneforgeCore","PlayniteInstaller.exe","C:\RUNEFOGE_PRO\runeforge-mvp\runeforge-mvp\retro\frontends\playnite\PlayniteInstaller.exe","0.244","22/03/2026 08:06:12 p. m.","True"
"VENDOR_ARCHIVE","RuneforgeCore","PPSSPPSetup_v1.20.3-36-g2d8832ec71.exe","C:\RUNEFOGE_PRO\runeforge-mvp\runeforge-mvp\retro\emulators\ppsspp\PPSSPPSetup_v1.20.3-36-g2d8832ec71.exe","21.018","22/03/2026 08:08:16 p. m.","True"
"VENDOR_ARCHIVE","RuneforgeCore","PPSSPPWindowsARM64.zip","C:\RUNEFOGE_PRO\runeforge-mvp\runeforge-mvp\retro\_downloads\PPSSPPWindowsARM64.zip","18.417","23/03/2026 02:07:38 a. m.","True"
"VENDOR_ARCHIVE","RuneforgeCore","PPSSPPWindowsARM64.exe","C:\RUNEFOGE_PRO\runeforge-mvp\runeforge-mvp\retro\_downloads\PPSSPPWindowsARM64\PPSSPPWindowsARM64.exe","17.404","15/03/2026 12:07:06 p. m.","True"
"VENDOR_ARCHIVE","RuneforgeCore","README.md","C:\RUNEFOGE_PRO\runeforge-mvp\runeforge-mvp\retro\_downloads\PPSSPPWindowsARM64\README.md","0.038","15/03/2026 11:52:35 a. m.","True"
"VENDOR_ARCHIVE","RuneforgeCore","7z.png","C:\RUNEFOGE_PRO\runeforge-mvp\runeforge-mvp\retro\_downloads\PPSSPPWindowsARM64\assets\7z.png","0.006","15/03/2026 11:52:35 a. m.","True"
