"IP","MAC","Tipo","Fuente","Estado","AccionSugerida"
"192.168.100.115","00-00-00-00-00-00","DISPOSITIVO_RED_REVISAR","Get-NetNeighbor","","IDENTIFICAR_ANTES_DE_BLOQUEAR"
"192.168.100.116","00-00-00-00-00-00","DISPOSITIVO_RED_REVISAR","Get-NetNeighbor","","IDENTIFICAR_ANTES_DE_BLOQUEAR"
"192.168.100.117","00-00-00-00-00-00","DISPOSITIVO_RED_REVISAR","Get-NetNeighbor","","IDENTIFICAR_ANTES_DE_BLOQUEAR"
"192.168.100.118","00-00-00-00-00-00","DISPOSITIVO_RED_REVISAR","Get-NetNeighbor","","IDENTIFICAR_ANTES_DE_BLOQUEAR"
"192.168.100.119","00-00-00-00-00-00","DISPOSITIVO_RED_REVISAR","Get-NetNeighbor","","IDENTIFICAR_ANTES_DE_BLOQUEAR"
"192.168.100.12","00-00-00-00-00-00","DISPOSITIVO_RED_REVISAR","Get-NetNeighbor","","IDENTIFICAR_ANTES_DE_BLOQUEAR"
"192.168.100.120","00-00-00-00-00-00","DISPOSITIVO_RED_REVISAR","Get-NetNeighbor","","IDENTIFICAR_ANTES_DE_BLOQUEAR"
"192.168.100.121","00-00-00-00-00-00","DISPOSITIVO_RED_REVISAR","Get-NetNeighbor","","IDENTIFICAR_ANTES_DE_BLOQUEAR"
"192.168.100.122","00-00-00-00-00-00","DISPOSITIVO_RED_REVISAR","Get-NetNeighbor","","IDENTIFICAR_ANTES_DE_BLOQUEAR"
"192.168.100.123","00-00-00-00-00-00","DISPOSITIVO_RED_REVISAR","Get-NetNeighbor","","IDENTIFICAR_ANTES_DE_BLOQUEAR"
"192.168.100.124","00-00-00-00-00-00","DISPOSITIVO_RED_REVISAR","Get-NetNeighbor","","IDENTIFICAR_ANTES_DE_BLOQUEAR"
"192.168.100.125","00-00-00-00-00-00","DISPOSITIVO_RED_REVISAR","Get-NetNeighbor","","IDENTIFICAR_ANTES_DE_BLOQUEAR"
"192.168.100.126","00-00-00-00-00-00","DISPOSITIVO_RED_REVISAR","Get-NetNeighbor","","IDENTIFICAR_ANTES_DE_BLOQUEAR"
"192.168.100.127","00-00-00-00-00-00","DISPOSITIVO_RED_REVISAR","Get-NetNeighbor","","IDENTIFICAR_ANTES_DE_BLOQUEAR"
"192.168.100.128","00-00-00-00-00-00","DISPOSITIVO_RED_REVISAR","Get-NetNeighbor","","IDENTIFICAR_ANTES_DE_BLOQUEAR"
"192.168.100.129","00-00-00-00-00-00","DISPOSITIVO_RED_REVISAR","Get-NetNeighbor","","IDENTIFICAR_ANTES_DE_BLOQUEAR"
"192.168.100.13","00-00-00-00-00-00","DISPOSITIVO_RED_REVISAR","Get-NetNeighbor","","IDENTIFICAR_ANTES_DE_BLOQUEAR"
"192.168.100.130","00-00-00-00-00-00","DISPOSITIVO_RED_REVISAR","Get-NetNeighbor","","IDENTIFICAR_ANTES_DE_BLOQUEAR"
"192.168.100.131","00-00-00-00-00-00","DISPOSITIVO_RED_REVISAR","Get-NetNeighbor","","IDENTIFICAR_ANTES_DE_BLOQUEAR"
"192.168.100.132","00-00-00-00-00-00","DISPOSITIVO_RED_REVISAR","Get-NetNeighbor","","IDENTIFICAR_ANTES_DE_BLOQUEAR"
